datetime,Global+AF8-active+AF8-power,Global+AF8-reactive+AF8-power,Voltage,Global+AF8-intensity,Sub+AF8-metering+AF8-1,Sub+AF8-metering+AF8-2,Sub+AF8-metering+AF8-3,sub+AF8-metering+AF8-4
2006+AC0-12+AC0-17,3390.46,226.005999999999,345725.32,14398.6,2033,4187,4926,14680.9333193
2006+AC0-12+AC0-18,2203.826,161.792,347373.64,9247.19999999999,1063,2621,13341,36946.666732
2006+AC0-12+AC0-19,1666.194,150.942,348479.01,7094.00000000001,839,7602,14018,19028.433281
2006+AC0-12+AC0-20,2225.748,160.998,348923.61,9312.99999999999,0,2648,6197,13131.9000435
2006+AC0-12+AC0-21,1723.288,144.434,347096.409999999,7266.4,1765,2692,14063,20384.8000114
2006+AC0-12+AC0-22,2341.338,186.906,347305.749999999,9896.99999999998,3151,350,10456,13808.4666967
2006+AC0-12+AC0-23,4773.386,221.47,345795.95,20200.4,2669,425,11131,24390.3000432
2006+AC0-12+AC0-24,2550.01200000001,149.9,348029.91,11002.2000000001,1703,5082,14726,61736.4333858
2006+AC0-12+AC0-25,2743.12000000001,240.28,350495.9,11450.2,6620,1962,6891,28824.1999673
2006+AC0-12+AC0-26,3934.11,165.102,347940.63,16341,1086,2533,5795,31341.6666291
2006+AC0-12+AC0-27,1528.76,178.902,351025.000000001,6505.2,0,314,14979,46970.500071
2006+AC0-12+AC0-28,2072.638,208.876,350306.4,8764.2,2207,4419,6976,18189.3333015001
2006+AC0-12+AC0-29,3174.392,196.394,346854.68,13350.8,1252,5162,9176,18741.9666063
2006+AC0-12+AC0-30,2796.108,312.142,346377.15,11952.6,3072,7893,11329,35163.5332927
2006+AC0-12+AC0-31,3494.196,150.852,345451.07,14687.4,0,347,12516,23120.8000451
2007+AC0-01+AC0-01,2749.00400000002,148.166,345785.73,11400.4,0,352,6502,51387.6000018001
2007+AC0-01+AC0-02,1269.236,190.342000000001,348399.04,5348.2,0,348,5880,39584.7332752
2007+AC0-01+AC0-03,1014.054,196.728,350722.21,4340.19999999999,0,344,6562,14243.9333455
2007+AC0-01+AC0-04,3259.41199999999,202.302,345240.43,13648.6,1051,7597,4765,11791.900019
2007+AC0-01+AC0-05,2713.36399999999,173.154,346313.9,11354.6,1483,379,10896,34779.5332894
2007+AC0-01+AC0-06,1508.378,192.187999999999,345129.2,6543.19999999999,1336,402,7602,35758.733384
2007+AC0-01+AC0-07,2447.62,246.074,346899.58,10487,1987,8177,5678,17723.6333396
2007+AC0-01+AC0-08,2241.36,207.568,344990.81,9434.40000000002,0,467,12810,17819.6666662
2007+AC0-01+AC0-09,1869.054,207.248,346302.03,7950.39999999999,1688,4267,17547,19342.0000013
2007+AC0-01+AC0-10,2154.8,228.451999999999,347079.53,9155.20000000002,771,4456,9790,15405.8999564
2007+AC0-01+AC0-11,2255.194,230.02,347264.19,9587.99999999998,1378,2170,11012,19674.3333163
2007+AC0-01+AC0-12,1461.296,199.14,347815.020000001,6205.2,0,439,12415,21623.5666732
2007+AC0-01+AC0-13,3186.814,290.736,344568.4,13612.4,7806,2975,8276,15639.9333304
2007+AC0-01+AC0-14,3009.442,227.278,343904.48,12912.2,1777,4215,11341,30991.5666556
2007+AC0-01+AC0-15,2148.678,174.86,347386.91,9016.6,1099,2239,12975,31190.3667211
2007+AC0-01+AC0-16,1686.404,185.428,348400.45,7165.4,2063,644,15163,17310.2999893
2007+AC0-01+AC0-17,2847.688,200.752,347047.56,11928.8,3500,5737,6583,18816.7333279
2007+AC0-01+AC0-18,1821.462,177.712,346886.78,7693.19999999997,0,336,16064,22160.466657
2007+AC0-01+AC0-19,1480.44,170.052,345831.76,6301.8,2103,330,13491,16530.6999898
2007+AC0-01+AC0-20,3133.732,238.362,343969.16,13461.2,4324,5222,7172,15068.9999604
2007+AC0-01+AC0-21,3407.262,229.736,344114.09,14674.6,10346,5567,11440,31242.8667284
2007+AC0-01+AC0-22,2180.494,168.642,347908.51,9151.59999999996,1054,2983,11599,29275.700016
2007+AC0-01+AC0-23,1777.64,138.28,349578.08,7575.60000000004,0,1064,11361,20943.5667026
2007+AC0-01+AC0-24,2987.854,178.06,347699.08,12576.4,3464,2480,5061,23502.3333195
2007+AC0-01+AC0-25,1596.344,144.16,350531.08,6666.2,1158,262,11744,32109.5666041
2007+AC0-01+AC0-26,1617.972,142.902,349591.38,6798.80000000001,1163,261,11239,13946.7333649
2007+AC0-01+AC0-27,2044.072,148.242,347927.86,8567.80000000003,1170,3896,8238,17304.2000432
2007+AC0-01+AC0-28,3091.58799999999,153.426,346039.259999999,13149,3466,3998,12374,16627.8666549
2007+AC0-01+AC0-29,1982.664,165.696,346938.620000001,8336,1123,294,12063,31999.466676
2007+AC0-01+AC0-30,1707.798,180.934,348250.86,7240.6,1123,1424,15254,16373.3999829
2007+AC0-01+AC0-31,2363.752,185.988,345486.43,9970,0,5950,8149,17767.3000063
2007+AC0-02+AC0-01,1824.76,150.264,346164.68,7678.79999999998,1170,386,15052,18393.8667504
2007+AC0-02+AC0-02,1667.736,139.542,346081.52,7013.99999999998,0,356,13145,15711.6666979
2007+AC0-02+AC0-03,4029.722,245.824,344030.68,17015,4746,4573,11338,16101.6000156
2007+AC0-02+AC0-04,3595.94,186.494,345071.999999999,15214.2,3391,4597,17834,40009.0332775001
2007+AC0-02+AC0-05,1645.28,147.228,346766.85,6941.4,896,2564,14472,37472.3333353999
2007+AC0-02+AC0-06,1273.48,142.566,347420.39,5431.60000000001,1185,405,7849,16112.3333279
2007+AC0-02+AC0-07,2328.018,177.708,347255.56,9780.00000000001,3299,3513,4517,15117.6666643
2007+AC0-02+AC0-08,1801.414,138.896,348188.12,7557.59999999998,2226,366,11986,20002.3000318
2007+AC0-02+AC0-09,1620.198,158.066,348106.24,6807.2,0,3045,10157,17274.5666375
2007+AC0-02+AC0-10,2829.328,192.974,345653.029999999,11957.4,5071,2831,9770,14188.2999898
2007+AC0-02+AC0-11,3571.228,204.314,344888.85,15158.6,2430,4765,14405,24848.4666851
2007+AC0-02+AC0-12,1877.61,136.704,345741.84,7925,2227,399,13114,39211.4666653001
2007+AC0-02+AC0-13,1414.546,134.678,347280.27,5967.00000000001,0,2828,11517,17150.4999843
2007+AC0-02+AC0-14,2498.672,202.506,346140.56,10533.8,3295,3793,6256,14491.7666781
2007+AC0-02+AC0-15,1985.346,165.964,346563.679999999,8381.2,0,2363,11579,22977.5333302
2007+AC0-02+AC0-16,1702.528,151.686,346782.16,7266.99999999995,1148,859,14028,16698.1000276
2007+AC0-02+AC0-17,2076.912,238.968,344615.09,8826.00000000001,1765,2226,8689,17679.4667226
2007+AC0-02+AC0-18,3829.76200000001,255.522,344405.960000001,16184,6107,8003,7157,23467.1999938
2007+AC0-02+AC0-19,2186.614,176.584,345297,9276.80000000001,1634,2900,13129,36590.3666824001
2007+AC0-02+AC0-20,3149.928,187.158,345406.24,13202.6000000001,2058,5191,13085,18824.5667126
2007+AC0-02+AC0-21,2072.874,189.87,346263.789999999,8747.2,3527,2332,9713,35536.8000263
2007+AC0-02+AC0-22,3374.356,138.46,343628.619999999,14214.2,1411,4132,11548,17140.8999931
2007+AC0-02+AC0-23,1313.48,149.344,346587.789999999,5508.59999999993,0,503,12287,38409.2666192
2007+AC0-02+AC0-24,714.922000000002,122.202,345402.87,3003.60000000004,0,363,10786,10602.3333405
2007+AC0-02+AC0-25,501.740000000001,113.736,348021.43,2105.6,0,329,3562,7990.3667023
